datetime,crop_id,soil_type,seedling_stage,moi,temp,humidity,result
2023-01-04 10:00:00,Wheat,Black Soil,Germination,83,41,48.0,0
2023-01-04 11:00:00,Wheat,Black Soil,Germination,84,42,46.0,0
2023-01-04 12:00:00,Wheat,Black Soil,Germination,85,43,44.0,0
2023-01-04 13:00:00,Wheat,Black Soil,Germination,86,44,42.0,0
2023-01-04 14:00:00,Wheat,Black Soil,Germination,87,45,40.0,0
2023-01-04 15:00:00,Wheat,Black Soil,Germination,88,46,38.0,0
2023-01-04 16:00:00,Wheat,Black Soil,Germination,89,25,80.0,0
2023-01-04 17:00:00,Wheat,Black Soil,Germination,90,26,78.0,0
2023-01-04 18:00:00,Wheat,Black Soil,Germination,91,27,76.0,0
2023-01-04 19:00:00,Wheat,Black Soil,Germination,92,28,74.0,0
2023-01-04 20:00:00,Wheat,Black Soil,Germination,93,29,72.0,0
2023-01-04 21:00:00,Wheat,Black Soil,Germination,94,30,70.0,0
2023-01-04 22:00:00,Wheat,Black Soil,Germination,95,31,68.0,0
2023-01-04 23:00:00,Wheat,Black Soil,Germination,96,32,66.0,0
2023-01-05 00:00:00,Wheat,Black Soil,Germination,97,33,64.0,0
2023-01-05 01:00:00,Wheat,Black Soil,Germination,98,34,62.0,0
2023-01-05 02:00:00,Wheat,Black Soil,Germination,99,35,60.0,0
2023-01-05 03:00:00,Wheat,Black Soil,Germination,100,36,58.0,0
2023-01-05 04:00:00,Wheat,Black Soil,Seedling Stage,1,37,56.0,1
2023-01-05 05:00:00,Wheat,Black Soil,Seedling Stage,2,38,54.0,1
2023-01-05 06:00:00,Wheat,Black Soil,Seedling Stage,3,39,52.0,1
2023-01-05 07:00:00,Wheat,Black Soil,Seedling Stage,4,40,50.0,1
2023-01-05 08:00:00,Wheat,Black Soil,Seedling Stage,5,41,48.0,1
2023-01-05 09:00:00,Wheat,Black Soil,Seedling Stage,6,42,46.0,1
2023-01-05 10:00:00,Wheat,Black Soil,Seedling Stage,7,43,44.0,1
2023-01-05 11:00:00,Wheat,Black Soil,Seedling Stage,8,44,42.0,1
2023-01-05 12:00:00,Wheat,Black Soil,Seedling Stage,9,45,40.0,1
2023-01-05 13:00:00,Wheat,Black Soil,Seedling Stage,10,46,38.0,1
2023-01-05 14:00:00,Wheat,Black Soil,Seedling Stage,11,25,80.0,1
2023-01-05 15:00:00,Wheat,Black Soil,Seedling Stage,12,26,77.0,1
2023-01-05 16:00:00,Wheat,Black Soil,Seedling Stage,13,27,74.0,1
2023-01-05 17:00:00,Wheat,Black Soil,Seedling Stage,14,28,71.0,1
2023-01-05 18:00:00,Wheat,Black Soil,Seedling Stage,15,29,68.0,1
2023-01-05 19:00:00,Wheat,Black Soil,Seedling Stage,16,30,65.0,1
2023-01-05 20:00:00,Wheat,Black Soil,Seedling Stage,17,31,62.0,1
2023-01-05 21:00:00,Wheat,Black Soil,Seedling Stage,18,32,59.0,1
2023-01-05 22:00:00,Wheat,Black Soil,Seedling Stage,19,33,56.0,1
2023-01-05 23:00:00,Wheat,Black Soil,Seedling Stage,20,34,53.0,1
2023-01-06 00:00:00,Wheat,Black Soil,Seedling Stage,21,35,50.0,1
2023-01-06 01:00:00,Wheat,Black Soil,Seedling Stage,22,36,47.0,1
2023-01-06 02:00:00,Wheat,Black Soil,Seedling Stage,23,37,44.0,1
2023-01-06 03:00:00,Wheat,Black Soil,Seedling Stage,24,38,41.0,1
2023-01-06 04:00:00,Wheat,Black Soil,Seedling Stage,25,39,38.0,1
2023-01-06 05:00:00,Wheat,Black Soil,Seedling Stage,26,40,35.0,1
2023-01-06 06:00:00,Wheat,Black Soil,Seedling Stage,27,41,32.0,1
2023-01-06 07:00:00,Wheat,Black Soil,Seedling Stage,28,42,29.0,1
2023-01-06 08:00:00,Wheat,Black Soil,Seedling Stage,29,43,26.0,1
2023-01-06 09:00:00,Wheat,Black Soil,Seedling Stage,30,44,23.0,1
2023-01-06 10:00:00,Wheat,Black Soil,Seedling Stage,31,45,20.0,1
2023-01-06 11:00:00,Wheat,Black Soil,Seedling Stage,32,46,17.0,1
2023-01-06 12:00:00,Wheat,Black Soil,Seedling Stage,33,25,80.0,1
2023-01-06 13:00:00,Wheat,Black Soil,Seedling Stage,34,26,77.0,1
2023-01-06 14:00:00,Wheat,Black Soil,Seedling Stage,35,27,74.0,1
2023-01-06 15:00:00,Wheat,Black Soil,Seedling Stage,36,28,71.0,1
2023-01-06 16:00:00,Wheat,Black Soil,Seedling Stage,37,29,68.0,1
2023-01-06 17:00:00,Wheat,Black Soil,Seedling Stage,38,30,65.0,1
2023-01-06 18:00:00,Wheat,Black Soil,Seedling Stage,39,31,62.0,1
2023-01-06 19:00:00,Wheat,Black Soil,Seedling Stage,40,32,59.0,2
2023-01-06 20:00:00,Wheat,Black Soil,Seedling Stage,41,33,56.0,2
2023-01-06 21:00:00,Wheat,Black Soil,Seedling Stage,42,34,53.0,2
2023-01-06 22:00:00,Wheat,Black Soil,Seedling Stage,43,35,50.0,2
2023-01-06 23:00:00,Wheat,Black Soil,Seedling Stage,44,36,47.0,2
2023-01-07 00:00:00,Wheat,Black Soil,Seedling Stage,45,37,44.0,2
2023-01-07 01:00:00,Wheat,Black Soil,Seedling Stage,46,38,41.0,2
2023-01-07 02:00:00,Wheat,Black Soil,Seedling Stage,47,39,38.0,2
2023-01-07 03:00:00,Wheat,Black Soil,Seedling Stage,48,40,35.0,2
2023-01-07 04:00:00,Wheat,Black Soil,Seedling Stage,49,41,32.0,2
2023-01-07 05:00:00,Wheat,Black Soil,Seedling Stage,50,42,29.0,2
2023-01-07 06:00:00,Wheat,Black Soil,Seedling Stage,51,43,26.0,0
2023-01-07 07:00:00,Wheat,Black Soil,Seedling Stage,52,44,23.0,0
2023-01-07 08:00:00,Wheat,Black Soil,Seedling Stage,53,45,20.0,0
2023-01-07 09:00:00,Wheat,Black Soil,Seedling Stage,54,46,17.0,0
2023-01-07 10:00:00,Wheat,Black Soil,Seedling Stage,55,25,80.0,0
2023-01-07 11:00:00,Wheat,Black Soil,Seedling Stage,56,26,77.0,0
2023-01-07 12:00:00,Wheat,Black Soil,Seedling Stage,57,27,74.0,0
2023-01-07 13:00:00,Wheat,Black Soil,Seedling Stage,58,28,71.0,0
2023-01-07 14:00:00,Wheat,Black Soil,Seedling Stage,59,29,68.0,0
2023-01-07 15:00:00,Wheat,Black Soil,Seedling Stage,60,30,65.0,0
2023-01-07 16:00:00,Wheat,Black Soil,Seedling Stage,61,31,62.0,0
2023-01-07 17:00:00,Wheat,Black Soil,Seedling Stage,62,32,59.0,0
2023-01-07 18:00:00,Wheat,Black Soil,Seedling Stage,63,33,56.0,0
2023-01-07 19:00:00,Wheat,Black Soil,Seedling Stage,64,34,53.0,0
2023-01-07 20:00:00,Wheat,Black Soil,Seedling Stage,65,35,50.0,0
2023-01-07 21:00:00,Wheat,Black Soil,Seedling Stage,66,36,47.0,0
2023-01-07 22:00:00,Wheat,Black Soil,Seedling Stage,67,37,44.0,0
2023-01-07 23:00:00,Wheat,Black Soil,Seedling Stage,68,38,41.0,0
2023-01-08 00:00:00,Wheat,Black Soil,Seedling Stage,69,39,38.0,0
2023-01-08 01:00:00,Wheat,Black Soil,Seedling Stage,70,40,35.0,0
2023-01-08 02:00:00,Wheat,Black Soil,Seedling Stage,71,41,32.0,0
2023-01-08 03:00:00,Wheat,Black Soil,Seedling Stage,72,42,29.0,0
2023-01-08 04:00:00,Wheat,Black Soil,Seedling Stage,73,43,26.0,0
2023-01-08 05:00:00,Wheat,Black Soil,Seedling Stage,74,44,23.0,0
2023-01-08 06:00:00,Wheat,Black Soil,Seedling Stage,75,45,20.0,0
2023-01-08 07:00:00,Wheat,Black Soil,Seedling Stage,76,46,17.0,0
2023-01-08 08:00:00,Wheat,Black Soil,Seedling Stage,77,25,80.0,0
2023-01-08 09:00:00,Wheat,Black Soil,Seedling Stage,78,26,77.3,0
2023-01-08 10:00:00,Wheat,Black Soil,Seedling Stage,79,27,74.6,0
2023-01-08 11:00:00,Wheat,Black Soil,Seedling Stage,80,28,71.9,0
2023-01-08 12:00:00,Wheat,Black Soil,Seedling Stage,81,29,69.2,0
2023-01-08 13:00:00,Wheat,Black Soil,Seedling Stage,82,30,66.5,0
2023-01-08 14:00:00,Wheat,Black Soil,Seedling Stage,83,31,63.8,0
2023-01-08 15:00:00,Wheat,Black Soil,Seedling Stage,84,32,61.1,0
2023-01-08 16:00:00,Wheat,Black Soil,Seedling Stage,85,33,58.4,0
2023-01-08 17:00:00,Wheat,Black Soil,Seedling Stage,86,34,55.7,0
2023-01-08 18:00:00,Wheat,Black Soil,Seedling Stage,87,35,53.0,0
2023-01-08 19:00:00,Wheat,Black Soil,Seedling Stage,88,36,50.3,0
2023-01-08 20:00:00,Wheat,Black Soil,Seedling Stage,89,37,47.6,0
2023-01-08 21:00:00,Wheat,Black Soil,Seedling Stage,90,38,44.9,0
2023-01-08 22:00:00,Wheat,Black Soil,Seedling Stage,91,39,42.2,0
2023-01-08 23:00:00,Wheat,Black Soil,Seedling Stage,92,40,39.5,0
2023-01-09 00:00:00,Wheat,Black Soil,Seedling Stage,93,41,36.8,0
2023-01-09 01:00:00,Wheat,Black Soil,Seedling Stage,94,42,34.1,0
2023-01-09 02:00:00,Wheat,Black Soil,Seedling Stage,95,43,31.4,0
2023-01-09 03:00:00,Wheat,Black Soil,Seedling Stage,96,44,28.7,0
2023-01-09 04:00:00,Wheat,Black Soil,Seedling Stage,97,45,26.0,0
2023-01-09 05:00:00,Wheat,Black Soil,Seedling Stage,98,46,23.3,0
2023-01-09 06:00:00,Wheat,Black Soil,Seedling Stage,99,25,80.0,0
2023-01-09 07:00:00,Wheat,Black Soil,Seedling Stage,100,26,77.0,0
2023-01-09 08:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,1,27,74.0,1
2023-01-09 09:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,2,28,71.0,1
2023-01-09 10:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,3,29,68.0,1
2023-01-09 11:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,4,30,65.0,1
2023-01-09 12:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,5,31,62.0,1
2023-01-09 13:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,6,32,59.0,1
2023-01-09 14:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,7,33,56.0,1
2023-01-09 15:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,8,34,53.0,1
2023-01-09 16:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,9,35,50.0,1
2023-01-09 17:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,10,36,47.0,1
2023-01-09 18:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,11,37,44.0,1
2023-01-09 19:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,12,38,41.0,1
2023-01-09 20:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,13,39,38.0,1
2023-01-09 21:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,14,40,35.0,1
2023-01-09 22:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,15,41,32.0,1
2023-01-09 23:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,16,42,29.0,1
2023-01-10 00:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,17,43,26.0,1
2023-01-10 01:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,18,44,23.0,1
2023-01-10 02:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,19,45,20.0,1
2023-01-10 03:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,20,46,17.0,1
2023-01-10 04:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,21,25,80.0,1
2023-01-10 05:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,22,26,77.5,1
2023-01-10 06:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,23,27,75.0,1
2023-01-10 07:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,24,28,72.5,1
2023-01-10 08:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,25,29,70.0,1
2023-01-10 09:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,26,30,67.5,1
2023-01-10 10:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,27,31,65.0,1
2023-01-10 11:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,28,32,62.5,1
2023-01-10 12:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,29,33,60.0,1
2023-01-10 13:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,30,34,57.5,1
2023-01-10 14:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,31,35,55.0,1
2023-01-10 15:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,32,36,52.5,1
2023-01-10 16:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,33,37,50.0,1
2023-01-10 17:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,34,38,47.5,1
2023-01-10 18:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,35,39,45.0,1
2023-01-10 19:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,36,40,42.5,1
2023-01-10 20:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,37,41,40.0,1
2023-01-10 21:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,38,42,37.5,1
2023-01-10 22:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,39,43,35.0,1
2023-01-10 23:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,40,44,32.5,1
2023-01-11 00:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,41,45,30.0,1
2023-01-11 01:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,42,46,27.5,1
2023-01-11 02:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,43,25,80.0,1
2023-01-11 03:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,44,26,77.3,1
2023-01-11 04:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,45,27,74.6,1
2023-01-11 05:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,46,28,71.9,1
2023-01-11 06:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,47,29,69.2,1
2023-01-11 07:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,48,30,66.5,1
2023-01-11 08:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,49,31,63.8,1
2023-01-11 09:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,50,32,61.1,2
2023-01-11 10:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,51,33,58.4,2
2023-01-11 11:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,52,34,55.7,2
2023-01-11 12:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,53,35,53.0,2
2023-01-11 13:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,54,36,50.3,2
2023-01-11 14:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,55,37,47.6,2
2023-01-11 15:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,56,38,44.9,2
2023-01-11 16:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,57,39,42.2,2
2023-01-11 17:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,58,40,39.5,2
2023-01-11 18:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,59,41,36.8,2
2023-01-11 19:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,60,42,34.1,2
2023-01-11 20:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,61,43,31.4,0
2023-01-11 21:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,62,44,28.7,0
2023-01-11 22:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,63,45,26.0,0
2023-01-11 23:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,64,46,23.3,0
2023-01-12 00:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,65,25,80.0,0
2023-01-12 01:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,66,26,77.0,0
2023-01-12 02:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,67,27,74.0,0
2023-01-12 03:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,68,28,71.0,0
2023-01-12 04:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,69,29,68.0,0
2023-01-12 05:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,70,30,65.0,0
2023-01-12 06:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,71,31,62.0,0
2023-01-12 07:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,72,32,59.0,0
2023-01-12 08:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,73,33,56.0,0
2023-01-12 09:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,74,34,53.0,0
2023-01-12 10:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,75,35,50.0,0
2023-01-12 11:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,76,36,47.0,0
2023-01-12 12:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,77,37,44.0,0
2023-01-12 13:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,78,38,41.0,0
2023-01-12 14:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,79,39,38.0,0
2023-01-12 15:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,80,40,35.0,0
2023-01-12 16:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,81,41,32.0,0
2023-01-12 17:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,82,42,29.0,0
2023-01-12 18:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,83,43,26.0,0
2023-01-12 19:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,84,44,23.0,0
2023-01-12 20:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,85,45,20.0,0
2023-01-12 21:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,86,46,17.0,0
2023-01-12 22:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,87,25,80.0,0
2023-01-12 23:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,88,26,77.0,0
2023-01-13 00:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,89,27,74.0,0
2023-01-13 01:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,90,28,71.0,0
2023-01-13 02:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,91,29,68.0,0
2023-01-13 03:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,92,30,65.0,0
2023-01-13 04:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,93,31,62.0,0
2023-01-13 05:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,94,32,59.0,0
2023-01-13 06:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,95,33,56.0,0
2023-01-13 07:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,96,34,53.0,0
2023-01-13 08:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,97,35,50.0,0
2023-01-13 09:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,98,36,47.0,0
2023-01-13 10:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,99,37,44.0,0
2023-01-13 11:00:00,Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,100,38,41.0,0
2023-01-13 12:00:00,Wheat,Black Soil,Flowering,1,39,38.0,1
2023-01-13 13:00:00,Wheat,Black Soil,Flowering,2,40,35.0,1
2023-01-13 14:00:00,Wheat,Black Soil,Flowering,3,41,32.0,1
2023-01-13 15:00:00,Wheat,Black Soil,Flowering,4,42,29.0,1
2023-01-13 16:00:00,Wheat,Black Soil,Flowering,5,43,26.0,1
2023-01-13 17:00:00,Wheat,Black Soil,Flowering,6,44,23.0,1
2023-01-13 18:00:00,Wheat,Black Soil,Flowering,7,45,20.0,1
2023-01-13 19:00:00,Wheat,Black Soil,Flowering,8,46,17.0,1
2023-01-13 20:00:00,Wheat,Black Soil,Flowering,9,25,80.0,1
2023-01-13 21:00:00,Wheat,Black Soil,Flowering,10,26,77.0,1
2023-01-13 22:00:00,Wheat,Black Soil,Flowering,11,27,74.0,1
2023-01-13 23:00:00,Wheat,Black Soil,Flowering,12,28,71.0,1
2023-01-14 00:00:00,Wheat,Black Soil,Flowering,13,29,68.0,1
2023-01-14 01:00:00,Wheat,Black Soil,Flowering,14,30,65.0,1
2023-01-14 02:00:00,Wheat,Black Soil,Flowering,15,31,62.0,1
2023-01-14 03:00:00,Wheat,Black Soil,Flowering,16,32,59.0,1
